file_output,description,warning,sent
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/1. Os 10 motivos que são os diferenciais dos cursos de IT do  professor Marco Maddo.mp4,"#F01 1. Os 10 motivos que são os diferenciais dos cursos de IT do  professor Marco Maddo

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,1
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/2. Seja protagonista da sua carreira na área de tecnologia..mp4,"#F02 2. Seja protagonista da sua carreira na área de tecnologia.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,1
"/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/3. Aula 00 - Entenda o que você vai aprender neste curso, e não tenha surpresas..mp4","#F03 3. Aula 00 - Entenda o que você vai aprender neste curso, e não tenha surpresas.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,1
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/4. Aula 01 - Instalação IntelliJ IDEA para aprender programar em Kotlin no curso..mp4,"#F04 4. Aula 01 - Instalação IntelliJ IDEA para aprender programar em Kotlin no curso.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,1
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/5. Importante informação sobre a atualização completa do curso para versão 2022..mp4,"#F05 5. Importante informação sobre a atualização completa do curso para versão 2022.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,1
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/6. Aula 02 - Overview da IDE IntelliJ.mp4,"#F06 6. Aula 02 - Overview da IDE IntelliJ

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,1
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/7. Aula Extra - Como acessar todos os projetos atualizados pelo Repositório Github.mp4,"#F07 7. Aula Extra - Como acessar todos os projetos atualizados pelo Repositório Github

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/8. Aula 03 - 1º Programa Kotlin para quem nunca programou na vida  fun main().mp4,"#F08 8. Aula 03 - 1º Programa Kotlin para quem nunca programou na vida  fun main()

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/9. Aula 04 - 2º Programa Kotlin  Imprimindo textos com o método nativo print().mp4,"#F09 9. Aula 04 - 2º Programa Kotlin  Imprimindo textos com o método nativo print()

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
/home/yan/Downloads/cursos/Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira/10. Aula 05 - 2º Programa Kotlin  Criar no seu Projeto um Método para impressão..mp4,"#F10 10. Aula 05 - 2º Programa Kotlin  Criar no seu Projeto um Método para impressão.

Kotlin Fundamentos da Programação para Leigos - Marco Aurélio Dias de Oliveira",,0
